,train,validate
0,0.38346602798399126,0.30162464522361754
1,0.2509559380386273,0.19890048168818156
2,0.1552301264256202,0.12330439958731333
3,0.11469864608487065,0.1022359339861075
4,0.09274923206212866,0.09057143540223439
5,0.0766435437518423,0.06740278695583343
6,0.0661382426897312,0.07475764108141264
7,0.05901392255703716,0.054921091554164886
8,0.052865185954673544,0.10056484940131505
9,0.04650420584880713,0.07960492924571037
10,0.040657301187367635,0.032258028068840504
11,0.03529565692729849,0.028059710555473964
12,0.03192667150318682,0.040870012555122376
13,0.028277896939558043,0.029296659276783467
14,0.025708063225891985,0.274347982972463
15,0.0236339647832316,0.0185059309532245
16,0.021345975657299072,0.022890672049125035
17,0.019836172034679415,0.01689247511823972
18,0.018542578652126506,0.014575995462636153
19,0.017272335924151942,0.024730677537123363
20,0.015927016743421535,0.01153427574634552
21,0.014692648850171262,0.015945027825435002
22,0.014836200813132675,0.010423873238166173
23,0.012465931634958422,0.037962934624354044
24,0.01232779814827457,0.014121691635102034
25,0.011212155172415203,0.020803243219852448
26,0.010907931044591179,0.020972746431827546
27,0.01015585851345977,0.010430632784366607
28,0.009147506463623275,0.009625836089054743
29,0.009374645860722881,0.005865938542236884
30,0.008483187968789004,0.0078381642804419
31,0.008092592963599142,0.024505232063730557
